山不在高，有仙则名。水不在深，有龙则灵。	陋室铭
纸灰飞作白蝴蝶，泪血染成红杜鹃。	清明日对酒
芭蕉不展丁香结，同向春风各自愁。	代赠二首·其一
青苔满地初晴后，绿树无人昼梦余。	新晴
夕阳牛背无人卧，带得寒鸦两两归。	村居
伤情处，高城望断，灯火已黄昏。	满庭芳·山抹微云
怅望千秋一洒泪，萧条异代不同时。	咏怀古迹五首·其二
落絮无声春堕泪，行云有影月含羞。	浣溪沙·门隔花深梦旧游
蓬门未识绮罗香，拟托良媒益自伤。	贫女
欲知方寸，共有几许清愁，芭蕉不展丁香结。	石州引·薄雨初寒
髻子伤春慵更梳。晚风庭院落梅初。	浣溪沙·髻子伤春慵更梳
莫辞酒味薄，黍地无人耕。	羌村三首·其三
便做春江都是泪，流不尽，许多愁。	江城子·西城杨柳弄春柔
雨横风狂三月暮，门掩黄昏，无计留春住。	蝶恋花·庭院深深深几许
长使英雄泪满襟，天意高难问。	卜算子·秋晚集杜句吊贾傅
伤心秦汉，生民涂炭，读书人一声长叹。	卖花声·怀古
骚人可煞无情思，何事当年不见收。	鹧鸪天·桂花
今夜送归灯火冷，河塘，堕泪羊公却姓杨。	南乡子·和杨元素时移守密州
半烟半雨溪桥畔，渔翁醉着无人唤。	菩萨蛮·半烟半雨溪桥畔
翰林风月三千首，寄与吴姬忍泪看。	鹧鸪天·雪照山城玉指寒
泪湿罗衣脂粉满。四叠阳关，唱到千千遍。	蝶恋花·泪湿罗衣脂粉满
伤高怀远几时穷。无物似情浓。	一丛花令·伤高怀远几时穷
金陵津渡小山楼，一宿行人自可愁。	题金陵渡
玉骨那愁瘴雾，冰姿自有仙风。	西江月·梅花
昔日横波目，今成流泪泉。	长相思三首·其二
一上高城万里愁，蒹葭杨柳似汀洲。	咸阳城东楼 / 咸阳城西楼晚眺 / 西门
梁园日暮乱飞鸦，极目萧条三两家。	山房春事二首
但使情亲千里近，须信。无情对面是山河。	定风波·席上送范廓之游建康
可惜一片清歌，都付与黄昏。	湘春夜月·近清明
三分春色二分愁，更一分风雨。	贺圣朝·留别
东风不为吹愁去，春日偏能惹恨长。	春思二首·其一
暝色入高楼，有人楼上愁。	菩萨蛮·平林漠漠烟如织
蚤是伤春梦雨天，可堪芳草更芊芊。	长安清明
杜鹃再拜忧天泪，精卫无穷填海心。	赠梁任父母同年 / 题梁任父同年
有情风、万里卷潮来，无情送潮归。	八声甘州·寄参寥子
酒贱常愁客少，月明多被云妨。	西江月·世事一场大梦
此花此叶常相映，翠减红衰愁杀人。	赠荷花
杨柳丝丝弄轻柔，烟缕织成愁。	眼儿媚·杨柳丝丝弄轻柔
胡雁哀鸣夜夜飞，胡儿眼泪双双落。	古从军行
今为羌笛出塞声，使我三军泪如雨。	古意
萧萧江上荻花秋，做弄许多愁。	眼儿媚·萧萧江上荻花秋
海内风尘诸弟隔，天涯涕泪一身遥。	野望
军听了军愁，民听了民怕。	朝天子·咏喇叭
梦回人远许多愁，只在梨花风雨处。	玉楼春·风前欲劝春光住
寂寂闻猿愁，行行见云收。	寻高凤石门山中元丹丘
泪湿罗巾梦不成，夜深前殿按歌声。	后宫词
羞日遮罗袖，愁春懒起妆。	赠邻女 / 寄李亿员外
一夜东风，枕边吹散愁多少。	点绛唇·一夜东风
紫艳半开篱菊静，红衣落尽渚莲愁。	长安晚秋 / 秋望 / 秋夕
请为父老歌：艰难愧深情！	羌村三首·其三
泪湿阑干花著露。愁到眉峰碧聚。	惜分飞·泪湿阑干花著露
城小贼不屠，人贫伤可怜。	贼退示官吏
世间无限丹青手，一片伤心画不成。	金陵晚望
愁云淡淡雨潇潇。暮暮复朝朝。	眼儿媚·愁云淡淡雨潇潇
阶下青苔与红树，雨中寥落月中愁。	端居
海燕未来人斗草，江梅已过柳生绵。黄昏疏雨湿秋千。	浣溪沙·淡荡春光寒食天
花无人戴，酒无人劝，醉也无人管。	青玉案·年年社日停针线
永丰西角荒园里，尽日无人属阿谁。	杨柳枝二首
凌余阵兮躐余行，左骖殪兮右刃伤。	九歌·国殇
酒意诗情谁与共？泪融残粉花钿重。	蝶恋花·暖雨晴风初破冻
一枝红杏出墙头，墙外行人正独愁。	途中见杏花
晚日金陵岸草平，落霞明，水无情。	江城子·晚日金陵岸草平
寄语东阳沽酒市，拼一醉，而今乐事他年泪。	渔家傲·小雨纤纤风细细
唱罢秋坟愁未歇，春丛认取双栖蝶。	蝶恋花·辛苦最怜天上月
又到断肠回首处，泪偷零。	山花子·风絮飘残已化萍
伏雨朝寒愁不胜，那能还傍杏花行。	浣溪沙·伏雨朝寒愁不胜
门隔花深旧梦游，夕阳无语燕归愁。玉纤香动小帘钩。	浣溪沙·门隔花深旧梦游
一场愁梦酒醒时，斜阳却照深深院。	踏莎行·小径红稀
东风有信无人见，露微意、柳际花边。	一丛花·初春病起
遗民忍死望恢复，几处今宵垂泪痕。	关山月
荷花娇欲语，愁杀荡舟人。	渌水曲
长驱入，歌台舞榭，风卷落花愁。	满庭芳·汉上繁华
独抱浓愁无好梦，夜阑犹剪灯花弄。	蝶恋花·暖雨晴风初破冻
雨歇梧桐泪乍收，遣怀翻自忆从头。	浣溪沙·雨歇梧桐泪乍收
无人知此意，歌罢满帘风。	临江仙·高咏楚词酬午日
谁谓伤心画不成，画人心逐世人情。	金陵图
枝上流莺和泪闻，新啼痕间旧啼痕。	鹧鸪天·枝上流莺和泪闻
土花曾染湘娥黛，铅泪难消。	采桑子·土花曾染湘娥黛
月去疏帘才数尺，乌鹊惊飞，一片伤心白。	蝶恋花·旅月怀人
总是愁媒，欲诉谁消遣。	蝶恋花·蝶懒莺慵春过半
谁谓含愁独不见，更教明月照流黄。	古意呈补阙乔知之 / 古意 / 独不见
红莲相倚浑如醉，白鸟无言定自愁。	鹧鸪天·鹅湖归病起作
今年对花最匆匆，相逢似有恨，依依愁悴。	花犯·小石梅花
愁因薄暮起，兴是清秋发。	秋登兰山寄张五 / 秋登万山寄张五 / 九月九日岘山寄张子容 / 秋登万山
留连光景惜朱颜，黄昏独倚阑。	阮郎归·呈郑王十二弟
不及夜台尘土隔，冷清清、一片埋愁地。	金缕曲·亡妇忌日有感
困倚危楼。过尽飞鸿字字愁。	减字木兰花·天涯旧恨
横笛和愁听，斜枝倚病看。	梅花
庭户无人秋月明，夜霜欲落气先清。	夜坐
双燕飞来，陌上相逢否？撩乱春愁如柳絮。	鹊踏枝·几日行云何处去
佳节久从愁里过，壮心偶傍醉中来。	九日和韩魏公
倚遍阑干，只是无情绪。	点绛唇·闺思
从来幽怨应无数？铁马金戈，青冢黄昏路。	蝶恋花·出塞
永怀愁不寐，松月夜窗虚。	岁暮归南山 / 归故园作 / 归终南山
身外闲愁空满，眼中欢事常稀。	临江仙·身外闲愁空满
枫树夜猿愁自断，女萝山鬼语相邀。	楚宫
恋树湿花飞不起，愁无比，和春付与东流水。	渔家傲·小雨纤纤风细细
我当二十不得意，一心愁谢如枯兰。	开愁歌
当关不报侵晨客，新得佳人字莫愁。	富平少侯
分明一觉华胥梦，回首东风泪满衣。	鹧鸪天·建康上元作
伤心枕上三更雨，点滴霖霪。	添字丑奴儿·窗前谁种芭蕉树
林卧愁春尽，开轩览物华。	清明日宴梅道士房 / 宴梅道士山房
玉惨花愁出凤城，莲花楼下柳青青。	鹧鸪天·别情
万事一身伤老矣，戎葵凝笑墙东。	临江仙·高咏楚词酬午日
是他春带愁来，春归何处。	祝英台近·晚春
伤心莫问前朝事，重上越王台。	人月圆·伤心莫问前朝事
贾生年少虚垂泪，王粲春来更远游。	安定城楼
数回细写愁仍破，万颗匀圆讶许同。	野人送朱樱
年年负却花期！过春时，只合安排愁绪送春归。	相见欢·年年负却花期
绿杨芳草几时休，泪眼愁肠先已断。	木兰花·城上风光莺语乱
曲港跳鱼，圆荷泻露，寂寞无人见。	永遇乐·彭城夜宿燕子楼
晓风不散愁千点，宿雨还添泪一痕。	咏白海棠
惜别伤离方寸乱。忘了临行，酒盏深和浅。	蝶恋花·泪湿罗衣脂粉满
自春来、惨绿愁红，芳心是事可可。	定风波·自春来
平生不下泪，于此泣无穷。	江夏别宋之悌
心断新丰酒，销愁斗几千。	风雨
楼儿忒小不藏愁。几度和云飞去、觅归舟。	虞美人·梳楼
多少泪珠何限恨，倚栏干。	摊破浣溪沙·菡萏香销翠叶残
远信入门先有泪，妻惊女哭问何如。	得乐天书
吾闻马周昔作新丰客，天荒地老无人识。	致酒行
桂叶双眉久不描，残妆和泪污红绡。	谢赐珍珠
赤壁矶头落照，肥水桥边衰草，渺渺唤人愁。	水调歌头·和庞佑父
已诉征求贫到骨，正思戎马泪盈巾。	又呈吴郎
低花树映小妆楼，春入眉心两点愁。	春词
念畴昔风流，暗伤如许。	金明池·咏寒柳
午梦初回，卷帘尽放春愁去。	点绛唇·访牟存叟南漪钓隐
紫黯红愁无绪，日暮春归甚处？	如梦令·紫黯红愁无绪
昨风一吹无人会，今夜清光似往年。	八月十五日夜湓亭望月
枕上潜垂泪，花间暗断肠。	赠邻女 / 寄李亿员外
离愁正引千丝乱，更东陌、飞絮濛濛。	一丛花令·伤高怀远几时穷
萧条庭院，又斜风细雨，重门须闭。	念奴娇·春情
新欢不抵旧愁多，倒添了、新愁归去。	鹊桥仙·七夕
都道无人愁似我，今夜雪，有梅花，似我愁。	梅花引·荆溪阻雪
把酒送春春不语。黄昏却下潇潇雨。	蝶恋花·送春
愁颜与衰鬓，明日又逢春。	除夜宿石头驿
帘控钩，掩上珠楼，风雨替花愁。	春闺怨·不系雕鞍门前柳
寒山吹笛唤春归，迁客相看泪满衣。	春夜闻笛
才过清明，渐觉伤春暮。	蝶恋花·春暮
无处不伤心，轻尘在玉琴。	菩萨蛮·萧萧几叶风兼雨
谪仙何处，无人伴我白螺杯。	水调歌头·游览
残月脸边明，别泪临清晓。	生查子·春山烟欲收
人老去西风白发，蝶愁来明日黄花。	折桂令·九日
芳菲歇。故园目断伤心切。	秦楼月·芳菲歇
近泪无干土，低空有断云。	别房太尉墓
铜盘烛泪已流尽，霏霏凉露沾衣。	夜飞鹊·河桥送人处
忍泪佯低面，含羞半敛眉。	女冠子·四月十七
柳色参差掩画楼，晓莺啼送满宫愁。	宫怨 / 闺怨
但梦想、一枝潇洒，黄昏斜照水。	花犯·小石梅花
不忍覆余觞，临风泪数行。	菩萨蛮·催花未歇花奴鼓
山暝闻猿愁，沧江急夜流。	宿桐庐江寄广陵旧游
三千丈清愁鬓发，五十年春梦繁华。	折桂令·客窗清明
失意还独语，多愁只自知。	蓟北旅思 / 送远人
天与秋光，转转情伤，探金英知近重阳。	行香子·天与秋光
幽径无人独自芳，此恨凭谁诉。	卜算子·兰
黄昏鼓角似边州，三十年前上此楼。	上汝州郡楼
叹凤嗟身否，伤麟怨道穷。	经邹鲁祭孔子而叹之
夜寒惊被薄，泪与灯花落。	菩萨蛮·萧萧几叶风兼雨
不愁屋漏床床湿，且喜溪流岸岸深。	苏秀道中
掩泪空相向，风尘何处期。	李端公 / 送李端
巫峡啼猿数行泪，衡阳归雁几封书。	送李少府贬峡中王少府贬长沙
曾苦伤春不忍听，凤城何处有花枝。	流莺
如今风雨西楼夜，不听清歌也泪垂。	鹧鸪天·一点残红欲尽时
浊酒不销忧国泪，救时应仗出群才。	黄海舟中日人索句并见日俄战争地图
零泪向谁道，鸡鸣徒叹息。	夜夜曲
被冷香消新梦觉，不许愁人不起。	念奴娇·春情
萧条亭障远，凄惨风尘多。	拟咏怀二十七首·其二十六
风雨牢愁无著处，那更寒蛩四壁。	酹江月·和友驿中言别
跨马出郊时极目，不堪人事日萧条。	野望
泪弹不尽临窗滴。就砚旋研墨。	思远人·红叶黄花秋意晚
霜殒芦花泪湿衣，白头无复倚柴扉。	思母
天际两蛾凝黛，愁与恨、几时极。	霜天晓角·题采石蛾眉亭
念兰堂红烛，心长焰短，向人垂泪。	撼庭秋·别来音信千里
宿醉离愁慢髻鬟，六铢衣薄惹轻寒，慵红闷翠掩青鸾。	浣溪沙·宿醉离愁慢髻鬟
燕语如伤旧国春，宫花一落已成尘。	隋宫燕
客里相逢，篱角黄昏，无言自倚修竹。	暗香疏影
无人解，树转午阴凉。	小重山·端午
一曲当筵落泪，重掩罗巾。	山亭柳·赠歌者
泪眼倚楼频独语。双燕飞来，陌上相逢否？	鹊踏枝·几日行云何处去
灞桥杨柳年年恨，鸳浦芙蓉叶叶愁。	鹧鸪天·枫落河梁野水秋
昨夜笙歌容易散，酒醒添得愁无限。	鹊踏枝·梅落繁枝千万片
愁无限，消瘦尽，有谁知？闲教玉笼鹦鹉念郎诗。	相见欢·落花如梦凄迷
醉中浑不记，归路月黄昏。	临江仙·探梅
关河无限清愁，不堪临鉴。	祝英台近·北固亭
恼乱横波秋一寸。斜阳只与黄昏近。	蝶恋花·卷絮风头寒欲尽
佳期怅何许，泪下如流霰。	晚登三山还望京邑
寄语天涯客，轻寒底用愁。	除夜太原寒甚
弟妹萧条各何在，干戈衰谢两相催！	九日五首·其一
不剪春衫愁意态。过收灯、有些寒在。	夜行船·正月十八日闻卖杏花有感
桐花半亩，静锁一庭愁雨。	琐窗寒·寒食
短梦依然江表，老泪洒西州。	八声甘州·记玉关踏雪事清游
蜂儿不解知人苦，燕儿不解说人愁。	最高楼·旧时心事
今日山城对垂泪，伤心不独为悲秋。	上汝州郡楼
夜来携手梦同游，晨起盈巾泪莫收。	梦微之
总把春山扫眉黛，不知供得几多愁？	代赠二首
疏星淡月秋千院，愁云恨雨芙蓉面。	塞鸿秋·春情
去年东武今夕，明月不胜愁。	水调歌头·徐州中秋
谁见汀洲上，相思愁白蘋。	饯别王十一南游
断肠片片飞红，都无人管，倩谁唤、流莺声住。	祝英台近·晚春
情似游丝，人如飞絮。泪珠阁定空相觑。	踏莎行·情似游丝
数州消息断，愁坐正书空。	对雪
不知何日始工愁。记取那回花下一低头。	虞美人·弄梅骑竹嬉游日
恨萧萧、无情风雨，夜来揉损琼肌。	多丽·咏白菊
独倚画栏如有意，清砧怨笛送黄昏。	咏白海棠
坠粉飘香，日日唤愁生。	江城子·画楼帘暮卷新晴
祁祁伤豳歌，萋萋感楚吟。	登池上楼
永丰柳，无人尽日飞花雪。	千秋岁·数声鶗鴂
忽然更作渔阳掺，黄云萧条白日暗。	听安万善吹觱篥歌
推手遽止之，湿衣泪滂滂。	听颖师弹琴
愁一箭风快，半篙波暖，回头迢递便数驿。	兰陵王·柳
四百年来成一梦，堪愁。	南乡子·自古帝王州
赠远虚盈手，伤离适断肠。	十一月中旬至扶风界见梅花
燕子归来愁不语。旧巢无觅处。	谒金门·花过雨
不枉东风吹客泪。相思难表，梦魂无据，惟有归来是。	青玉案·一年春事都来几
天上人间何处去，旧欢新梦觉来时，黄昏微雨画帘垂。	浣溪沙·枕障薰炉隔绣帷
长记海棠开后，正伤春时节。	好事近·风定落花深
知君惯度祁连城，岂能愁见轮台月。	送李副使赴碛西官军
今宵绝胜无人共，卧看星河尽意明。	雨晴
絮影苹香，春在无人处。	点绛唇·访牟存叟南漪钓隐
尽做旧愁都忘却，新愁何处着？	谒金门·双喜鹊
向露冷风清，无人处，耿耿寒漏咽。	浪淘沙慢·晓阴重
须愁春漏短，莫诉金杯满。	菩萨蛮·劝君今夜须沉醉
谁道投鞭飞渡，忆昔鸣髇血污，风雨佛狸愁。	水调歌头·舟次扬州和人韵
昨夜更阑酒醒，春愁过却病。	应天长·一钩初月临妆镜
香帏风动花入楼，高调鸣筝缓夜愁。	青楼怨
半死梧桐老病身，重泉一念一伤神。	为薛台悼亡
黄昏院落，凄凄惶惶，酒醒时往事愁肠。	行香子·天与秋光
终然独不见，流泪空自知。	独不见
立尽黄昏泪几行，一片鸦啼月。	卜算子·秋色到空闺
明月，明月，胡笳一声愁绝。	调笑令·边草
尊前只恐伤郎意，阁泪汪汪不敢垂。	鹧鸪天·镇日无心扫黛眉
唤起两眸清炯炯。泪花落枕红棉冷。	蝶恋花·早行
君看石芒砀，掩泪悲千古。	丁督护歌
望章台路杳，金鞍游荡，有盈盈泪。	水龙吟·燕忙莺懒芳残
梯横画阁黄昏后，又还是、斜月帘栊。	一丛花令·伤高怀远几时穷
好去不须频下泪，老僧相伴有烟霞。	送童子下山
万里伤心严谴日，百年垂死中兴时。	送郑十八虔贬台州司户伤其临老陷贼之故阙为面别情见于诗
低头独长叹，此叹无人喻。	买花 / 牡丹
但恨处非位，怆悢使心伤。	咏怀八十二首·其七十九
客里看春多草草，总被诗愁分了。	清平乐·采芳人杳
衰柳寒蝉一片愁，谁肯教白衣送酒？	沉醉东风·重九
天上星河转，人间帘幕垂。凉生枕簟泪痕滋。	南歌子·天上星河转
才道莫伤神，青衫湿一痕。	菩萨蛮·新寒中酒敲窗雨
却忆安石风流，东山岁晚，泪落哀筝曲。	念奴娇·登建康赏心亭呈史致道留守
独上小搂春欲暮，愁望玉关芳草路。	木兰花·独上小楼春欲暮
翠蛾轻敛意沉吟，沾襟，无人知此心。	河传·花落
深宫桃李无人问，旧爱玉颜今自恨。	玉楼春·惊沙猎猎风成阵
砧面莹，杵声齐。捣就征衣泪墨题。	杵声齐·砧面莹
岁华向晚愁思，谁念玉关人老？	喜迁莺·霜天秋晓
寒禽与衰草，处处伴愁颜。	贼平后送人北归
不语含嚬深浦里，几回愁煞棹船郎，燕归帆尽水茫茫。	浣溪沙·红蓼渡头秋正雨
断肠何必更残阳，极目伤平楚。	烛影摇红·题安陆浮云楼
草木虽无情，因依尚可生。	树中草
江亭暇日堪高会，醉讽离骚不解愁。	午日观竞渡
形影忽不见，翩翩伤我心。	杂诗七首·其一
酒醒人静奈愁浓。残灯孤枕梦，轻浪五更风。	临江仙·饮散离亭西去
催成清泪，惊残孤梦，又拣深枝飞去。	鹊桥仙·夜闻杜鹃
孤芳一世，供断有情愁，消瘦损，东阳也，试问花知否？	蓦山溪·梅
无言暗将红泪弹。阑珊，香销轻梦还。	河传·春浅
便做无情，莫也愁人苦。	蝶恋花·送春
去意徊徨，别语愁难听。	蝶恋花·早行
不道愁人不喜听。空阶滴到明。	长相思·雨
杜诗韩笔愁来读，似倩麻姑痒处搔。	读韩杜集
伤情燕足留红线，恼人鸾影闲团扇。	塞鸿秋·春情
忙日苦多闲日少，新愁常续旧愁生。	浣溪沙·和无咎韵
万顷风涛不记苏。雪晴江上麦千车。但令人饱我愁无。	浣溪沙·万顷风涛不记苏
一任紫玉无情，夜寒吹裂。	琵琶仙·中秋
绿鬓能供多少恨，未肯无情比断弦。	破阵子·柳下笙歌庭院
争奈愁来，一日却为长。	行路难·缚虎手
握手一长叹，泪为生别滋。	留别妻
却愁宴罢青娥散，扬子江头月半斜。	陪金陵府相中堂夜宴
叹息此人去，萧条徐泗空。	经下邳圯桥怀张子房
隐约遥峰，和泪谢娘眉妩。	绮罗香·咏春雨
白发书生神州泪，尽凄凉、不向牛山滴。	贺新郎·九日
幅巾藜杖北城头，卷地西风满眼愁。	秋晚登城北楼
无人收废帐，归马识残旗。	没蕃故人
教人怎不伤情。觉几度、魂飞梦惊。	柳梢青·送卢梅坡
无限伤心夕照中，故国凄凉，剩粉余红。	一剪梅·咏柳
卷尽愁云，素娥临夜新梳洗。	点绛唇·试灯夜初晴
欲共柳花低诉，怕柳花轻薄，不解伤春。	湘春夜月·近清明
瞻彼洛城郭，微子为哀伤。	薤露
千里万里，二月三月，行色苦愁人。	少年游·栏干十二独凭春
伤心庾开府，老作北朝臣。	金陵怀古
沧海客归珠有泪，章台人去骨遗香。	落花
人散市声收，渐入愁时节。	生查子·元夕戏陈敬叟
愁里高歌梁父吟，犹如金玉戛商音。	二砺
云白山青万余里，愁看直北是长安。	小寒食舟中作
易得凋零，更多少无情风雨。	燕山亭·北行见杏花
江心云带蒲帆重，楼上风吹粉泪香。	鹧鸪天·惜别
风淅淅，雨纤纤。难怪春愁细细添。	赤枣子·风淅淅
玉皇开碧落，银界失黄昏。	临江仙·都城元夕
无一语，对芳尊。安排肠断到黄昏。	鹧鸪天·枝上流莺和泪闻
桃花洞，瑶台梦，一片春愁谁与共？	天仙子·柳色披衫金缕凤
迢递路回清野，人语渐无闻，空带愁归。	夜飞鹊·河桥送人处
有怅寒潮，无情残照，正是萧萧南浦。	金明池·咏寒柳
泪滴千千万万行，更使人、愁肠断。	卜算子·答施
麦浪翻晴风飐柳，已过伤春候。	四和香·麦浪翻晴风飐柳
扰扰马足车尘，被岁月无情，暗消年少。	玉漏迟·咏杯
佳辰强饮食犹寒，隐几萧条戴鹖冠。	小寒食舟中作
微晕娇花湿欲流，簟纹灯影一生愁。	浣溪沙·咏五更和湘真韵
柳叶随歌皱，梨花与泪倾。	南歌子·槐绿低窗暗
仗酒祓清愁，花销英气。	翠楼吟·淳熙丙午冬
待约个梅魂，黄昏月淡，与伊深怜低语。	金明池·咏寒柳
暗教愁损兰成，可怜夜夜关情。	清平乐·候蛩凄断
春去秋来也，愁心似醉醺。	巫山一段云·春去秋来也
花不语，水空流。年年拚得为花愁。	鹧鸪天·守得莲开结伴游
如今但暮雨，蜂愁蝶恨，小窗闲对芭蕉展。	薄幸·青楼春晚
午窗睡起莺声巧，何处唤春愁？	眼儿媚·迟迟春日弄轻柔
可堪更近乾龙节。眼中泪尽空啼血。	秦楼月·芳菲歇
近来何处有吾愁，何处还知吾乐。	念奴娇·赋雨岩
杏花无处避春愁，也傍野烟发。	好事近·汴京赐宴闻教坊乐有感
寻河愁地尽，过碛觉天低。	碛西头送李判官入京
粉黛暗愁金带枕，鸳鸯空绕画罗衣，那堪辜负不思归！	浣溪沙·云淡风高叶乱飞
淮水悠悠。万顷烟波万顷愁。	减字木兰花·淮山隐隐
阑干风冷雪漫漫，惆怅无人把钓竿。	钓雪亭
翠葆参差竹径成。新荷跳雨泪珠倾。曲阑斜转小池亭。	浣沙溪·翠葆参差竹径成
眉尖早识愁滋味，娇羞未解论心事。	菩萨蛮·眉尖早识愁滋味
自笑好山如好色，只今怀树更怀人。闲愁闲恨一番新。	浣溪沙·偕叔高子似宿山寺戏作
愁损翠黛双蛾，日日画阑独凭。	双双燕·咏燕
几日喜春晴，几夜愁春雨。	卜算子·泛西湖坐间寅斋同赋
念归林叶换，愁坐露华生。	西江夜行
丹桂不知摇落恨，素娥应信别离愁。	望江南·江南月
明妃留在两眉愁，万古春山颦不尽。	玉楼春·惊沙猎猎风成阵
伤心千古，秦淮一片明月！	念奴娇·登石头城次东坡韵
胡人吹笛戍楼间，楼上萧条海月闲。	和王七玉门关听吹笛 / 塞上闻笛
怕歌愁舞懒逢迎。妆晚托春酲。	朝中措·代谭德称作
倦游京洛风尘，夜来病酒无人问。	水龙吟·咏月
落日无人松径里，鬼火高低明灭。	念奴娇·登石头城次东坡韵
回首天涯归梦，几魂飞西浦，泪洒东州。	一萼红·登蓬莱阁有感
绛蜡等闲陪泪，吴蚕到了缠绵。	破阵子·柳下笙歌庭院
恩疏宠不及，桃李伤春风。	上之回
弹泪别东风，把酒浇飞絮：化了浮萍也是愁，莫向天涯去！	卜算子·燕子不曾来
义胆包天，忠肝盖地，四海无人识。	念奴娇·天南地北
想得此时情切，泪沾红袖黦。	应天长·别来半岁音书绝
凤凋碧柳愁眉淡，露染黄花笑靥深。	鹧鸪天·九日悲秋不到心
发短愁催白，颜衰酒借红。	除夜对酒赠少章
渐红湿杏泥，愁燕无语。	扫花游·西湖寒食
花渐凋疏不耐风，画帘垂地晚重工，堕阶萦藓舞愁红。	浣溪沙·花渐凋疏不耐风
客愁全为减，舍此复何之？	后游
风急桃花也似愁，点点飞红雨。	楚天遥过清江引·有意送春归
争奈醒来，愁恨又依然。	江城子·赏春
这次第，算人间没个并刀，剪断心上愁痕。	湘春夜月·近清明
别浦今朝暗，罗帷午夜愁。	七夕
深院锁黄昏，阵阵芭蕉雨。	生查子·含羞整翠鬟
正江令恨别，庾信愁赋。	兰陵王·丙子送春
去年米贵阙军食，今年米贱大伤农。	岁晏行
千娇面、盈盈伫立，无言有泪，断肠争忍回顾。	采莲令·月华收
明日近长安，客心愁未阑。	菩萨蛮·白日惊飚冬已半
冰合大河流，茫茫一片愁。	菩萨蛮·白日惊飚冬已半
轻衫未揽，犹将泪点偷藏。	夜合花·柳锁莺魂
江南江北愁思，分付酒螺红。	水调歌头·平山堂用东坡韵
拟把伤离情绪，待晓寒重说。	好事近·帘外五更风
无半点闲愁去处，问三生醉梦何如。	折桂令·七夕赠歌者
只愁飞诏下青冥。不应霜塞晚，横槊看诗成。	临江仙·送光州曾使君
闲倚博山长叹，泪流沾皓腕。	归国遥·春欲晚
歌里千重意，才欲歌时泪已流，恨应更、多于泪。	卜算子·樽前一曲歌
雁过斜阳，草迷烟渚。如今已是愁无数。	踏莎行·情似游丝
午醉未醒红日晚，黄昏帘幕无人卷。	蝶恋花·蝶懒莺慵春过半
对山河百二，泪痕沾血。	满江红·题南京夷山驿
但愁敲桂棹，悲吟梁父，泪流如雨。	水龙吟·放船千里凌波去
击楫中流，曾记泪沾裳。	江城子·平沙浅草接天长
萧条清万里，瀚海寂无波。	塞上曲
寂寞尊前席上，唯愁海角天涯。	转调满庭芳·芳草池塘
一笛当楼，谢娘悬泪立风前。	玉蝴蝶·晚雨未摧宫树
镇日无心扫黛眉。临行愁见理征衣。	鹧鸪天·镇日无心扫黛眉
愁中看、好天良夜，知道尽成悲咽。	琵琶仙·中秋
借钱塘潮汐，为君洗尽，岳将军泪！	水龙吟·西湖怀古
似醉烟景凝，如愁月露泫。	五月水边柳
倚竹不胜愁，暗想江头归路。	如梦令·一晌凝情无语
曲终人醉。多似浔阳江上泪。	减字木兰花·刘郎已老
关河底事空留客？岁月无情不贷人。	立春日感怀
无端和泪拭胭脂，惹教双翅垂。	蝴蝶儿·蝴蝶儿
湘泪浅深滋竹色，楚歌重叠怨兰丛。	潭州
总是向人深处，当时枉道无情。	朝中措·代谭德称作
一片闲愁，想丹青难貌。	尾犯·夜雨滴空阶
雍雍新雁咽寒声，愁恨年年长相似。	谢新恩·冉冉秋光留不住
又是羊车过也，月明花落黄昏。	清平乐·宫怨
忍泪不能歌，试托哀弦语。	生查子·坠雨已辞云
沉忧能伤人，绿鬓成霜蓬。	怨歌行
江南自是离愁苦，况游骢古道，归雁平沙。	高阳台·和周草窗寄越中诸友韵
饮酒莫辞醉，醉多适不愁。	淇上送韦司仓往滑台
秋来愁更深，黛拂双蛾浅。	生查子·秋来愁更深
枕前何事最伤情？梧桐叶上，点点露珠零。	临江仙·深秋寒夜银河静
江燕话归成晓别，水花红减似春休。西风梧井叶先愁。	浣溪沙·波面铜花冷不收
肌玉暗消衣带缓，泪珠斜透花钿侧。	满江红·和王夫人满江红韵以庶几後山妾薄命之意
已觉逝川伤别念，复看津树隐离舟。	秋江送别二首
无作牛山悲，恻怆泪沾臆。	君子有所思行
渐老多忧百事忙，天寒日短更心伤。	秋晚悲怀
明朝事与孤烟冷，做满湖、风雨愁人。	渡江云三犯·西湖清明
舒卷江山图画，应答龙鱼悲啸，不暇顾诗愁。	水调歌头·登多景楼
使君宏放，谈笑洗尽古今愁。	水调歌头·多景楼
不如归去下帘钩。心儿小，难着许多愁。	小重山·春愁
岁月无多人易老，乾坤虽大愁难著。	满江红·豫章滕王阁
佳人相对泣，泪下罗衣湿。	菩萨蛮·子规啼破城楼月
谩道愁须殢酒，酒未醒、愁已先回。	满庭芳·碧水惊秋
坐愁群芳歇，白露凋华滋。	秋思
柳锁莺魂，花翻蝶梦，自知愁染潘郎。	夜合花·柳锁莺魂
多少新亭挥泪客，谁梦中原块土。	贺新郎·送陈真州子华
最伤情、送客咸阳，佩结西风怨。	琐窗寒·玉兰
秋草六朝寒，花雨空坛。更无人处一凭阑。	卖花声·雨花台
湘波如泪色漻漻，楚厉迷魂逐恨遥。	楚宫
