山不在高，有仙则名。水不在深，有龙则灵。	陋室铭
云中乱拍禄山舞，风过重峦下笑声。	过华清宫绝句三首
知音如不赏，归卧故山秋。	题诗后
醉后不知天在水，满船清梦压星河。	题龙阳县青草湖
借得山东烟水寨，来买凤城春色。	念奴娇·天南地北
山光忽西落，池月渐东上。	夏日南亭怀辛大
高山安可仰，徒此揖清芬。	赠孟浩然
凌晨过骊山，御榻在嵽嵲。	自京赴奉先县咏怀五百字 / 自京赴奉先咏怀五百字
朝屯雪山下，暮宿青海旁。	木兰歌
水深桥梁绝，中路正徘徊。	苦寒行
君若清路尘，妾若浊水泥；	七哀诗
桃花尽日随流水，洞在清溪何处边。	桃花溪
燕山雪花大如席，片片吹落轩辕台。	北风行
醉舞梁园夜，行歌泗水春。	寄李十二白二十韵
天涯倦客，山中归路，望断故园心眼。	永遇乐·彭城夜宿燕子楼
青山相待，白云相爱，梦不到紫罗袍共黄金带。	山坡羊·道情
好水好山看不足，马蹄催趁月明归。	池州翠微亭
一江烟水照晴岚，两岸人家接画檐，芰荷丛一段秋光淡。	水仙子·咏江南
玉露凋伤枫树林，巫山巫峡气萧森。	秋兴八首·其一
假令风歇时下来，犹能簸却沧溟水。	上李邕
雁引愁心去，山衔好月来。	与夏十二登岳阳楼
尚怜终南山，回首清渭滨。	奉赠韦左丞丈二十二韵
三春白雪归青冢，万里黄河绕黑山。	征人怨 / 征怨
东风吹雨过青山，却望千门草色闲。	长安春望
南山与秋色，气势两相高。	长安秋望
艳歌余响，绕云萦水。	水龙吟·闾丘大夫孝终公显尝守黄州
江帆几片疾如箭，山泉千尺飞如电。	塞鸿秋·浔阳即景
近水楼台先得月，向阳花木易为春。	断句
河水洋洋，北流活活。	硕人
那作商人妇，愁水复愁风。	长干行二首
风为裳，水为佩。	苏小小歌 / 苏小小墓
莫遣只轮归海窟，仍留一箭射天山。	塞下曲
繁华事散逐香尘，流水无情草自春。	金谷园
湖山信是东南美，一望弥千里。	虞美人·有美堂赠述古
日照香炉生紫烟，遥看瀑布挂前川。	望庐山瀑布
庐山秀出南斗傍，屏风九叠云锦张。	庐山谣寄卢侍御虚舟
西登香炉峰，南见瀑布水。	望庐山瀑布水二首
灵山多秀色，空水共氤氲。	湖口望庐山瀑布泉 / 湖口望庐山瀑布水
香炉初上日，瀑水喷成虹。	彭蠡湖中望庐山
今古长如白练飞，一条界破青山色。	庐山瀑布
挂席几千里，名山都未逢。	晚泊浔阳望庐山
笑别庐山远，何烦过虎溪。	别东林寺僧
去年上巳洛桥边，今年寒食庐山曲。	寒食江州满塘驿
昼夜蔽日月，冬夏共霜雪。	登庐山绝顶望诸峤
归装渐理君知否？笑指庐山古涧藤。	自咏示客
愿得一心人，白头不相离。	白头吟
欲把相思说似谁，浅情人不知。	长相思·长相思
取次花丛懒回顾，半缘修道半缘君。	离思五首·其四
只愿君心似我心，定不负相思意。	卜算子·我住长江头
恨君不似江楼月，南北东西，南北东西，只有相随无别离。	采桑子·恨君不似江楼月
孤灯不明思欲绝，卷帷望月空长叹。	长相思·其一
妆罢低声问夫婿，画眉深浅入时无。	近试上张籍水部 / 近试上张水部 / 闺意献张水部
闻君有两意，故来相决绝。	白头吟
忽见陌头杨柳色，悔教夫婿觅封侯。	闺怨
情人怨遥夜，竟夕起相思。	望月怀远 / 望月怀古
思君如陇水，长闻呜咽声。	自君之出矣
美人卷珠帘，深坐颦蛾眉。	怨情
相思相望不相亲，天为谁春。	画堂春·一生一代一双人
今日俸钱过十万，与君营奠复营斋。	遣悲怀三首·其一
执子之手，与子偕老。	击鼓
碧水浩浩云茫茫，美人不来空断肠。	早春寄王汉阳
无那尘缘容易绝，燕子依然，软踏帘钩说。	蝶恋花·辛苦最怜天上月
石壕村里夫妻别，泪比长生殿上多。	马嵬
乌啼隐杨花，君醉留妾家。	杨叛儿
凝恨对残晖，忆君君不知。	菩萨蛮
清风明月苦相思，荡子从戎十载馀。	伊州歌
四月十七，正是去年今日，别君时。	女冠子·四月十七
春已归来，看美人头上，袅袅春幡。	汉宫春·立春日
肥水东流无尽期。当初不合种相思。	鹧鸪天·元夕有所梦
若是前生未有缘，待重结、来生愿。	卜算子·答施
终日望君君不至，举头闻鹊喜。	谒金门·风乍起
同穴窅冥何所望，他生缘会更难期。	遣悲怀三首·其三
夜夜相思更漏残，伤心明月凭阑干，想君思我锦衾寒。	浣溪沙·夜夜相思更漏残
忆君迢迢隔青天，昔日横波目，今作流泪泉。	长相思·其二
恨君却似江楼月，暂满还亏，暂满还亏，待得团圆是几时？	采桑子·恨君不似江楼月
感君缠绵意，系在红罗襦。	节妇吟寄东平李司空师道
新知遭薄俗，旧好隔良缘。	风雨
相思只在：丁香枝上，豆蔻梢头。	眼儿媚·杨柳丝丝弄轻柔
夜长争得薄情知，春初早被相思染。	踏莎行·自沔东来丁未元日至金陵江上感梦而作
可怜闺里月，长在汉家营。	杂诗三首·其三
画船捶鼓催君去。高楼把酒留君住。	菩萨蛮·画船捶鼓催君去
出入君怀袖，动摇微风发。	怨歌行
君宠益娇态，君怜无是非。	西施咏
若待得君来向此，花前对酒不忍触。	贺新郎·夏景
柳色披衫金缕凤，纤手轻拈红豆弄，翠蛾双敛正含情。	天仙子·柳色披衫金缕凤
殷勤花下同携手。更尽杯中酒。美人不用敛蛾眉。	虞美人·雨后同干誉才卿置酒来禽花下作
红豆不堪看，满眼相思泪。	生查子·新月曲如眉
鸳鸯俱是白头时，江南渭北三千里。	惜余春·急雨收春
惜分长怕君先去，直待醉时休。	眼儿媚·萧萧江上荻花秋
秾艳一枝细看取，芳心千重似束。	贺新郎·夏景
重见金英人未见。相思一夜天涯远。	蝶恋花·黄菊开时伤聚散
夫死战场子在腹，妾身虽存如昼烛。	征妇怨
相思难表，梦魂无据，惟有归来是。	青玉案·一年春事都来几
谁料同心结不成，翻就相思结。	卜算子·秋色到空闺
群燕辞归鹄南翔，念君客游多断肠。	燕歌行二首·其一
斑竹枝，斑竹枝，泪痕点点寄相思。	潇湘神·斑竹枝
妾身悔作商人妇，妾命当逢薄幸夫。	阳春曲·闺怨
君怀良不开，贱妾当何依。	七哀诗
曾与美人桥上别，恨无消息到今朝。	杨柳枝 / 柳枝词
一夜相思，水边清浅横枝瘦。	点绛唇·咏梅月
相思无因见，怅望凉风前。	折荷有赠
一语不入意，从君万曲梁尘飞。	夜坐吟
两岸人家微雨后，收红豆，树底纤纤抬素手。	南乡子·路入南中
残月出门时，美人和泪辞。	菩萨蛮·红楼别夜堪惆怅
肠已断，泪难收。相思重上小红楼。	鹧鸪天·代人赋
还怕两人俱薄命，再缘悭、剩月零风里。	金缕曲·亡妇忌日有感
绮席象床寒玉枕，美人何处醉黄花。	望江南·幽州九日
忆昔花间相见后，只凭纤手，暗抛红豆。	贺明朝·忆昔花间相见后
小轩独坐相思处，情绪好无聊。	眼儿媚·愁云淡淡雨潇潇
贱妾茕茕守空房，忧来思君不敢忘，不觉泪下沾衣裳。	燕歌行二首·其一
红烛背，绣帘垂，梦长君不知。	更漏子·柳丝长
忆君心似西江水，日夜东流无歇时。	江陵愁望寄子安 / 江陵愁望有寄
花落花开自有时，总赖东君主。	卜算子·不是爱风尘
愿为西南风，长逝入君怀。	七哀诗
君知妾有夫，赠妾双明珠。	节妇吟寄东平李司空师道
相思本是无凭语，莫向花笺费泪行。	鹧鸪天·醉拍春衫惜旧香
别后不知君远近。触目凄凉多少闷。	玉楼春·别后不知君远近
怕相思，已相思，轮到相思没处辞，眉间露一丝。	长相思·折花枝
闺中少妇不知愁，春日凝妆上翠楼。	闺怨
今夜鄜州月，闺中只独看。	月夜
相思似海深，旧事如天远。	卜算子·答施
寂寞深闺，柔肠一寸愁千缕。	点绛唇·闺思
奴为出来难，教君恣意怜。	菩萨蛮·花明月暗笼轻雾
相思已是不曾闲，又那得、工夫咒你。	鹊桥仙·说盟说誓
月色入高楼，相思两处愁。	菩萨蛮·寄女伴
山远天高烟水寒，相思枫叶丹。	长相思·一重山
当君怀归日，是妾断肠时。	春思
知君用心如日月，事夫誓拟同生死。	节妇吟寄东平李司空师道
相逢一醉是前缘，风雨散、飘然何处。	鹊桥仙·七夕
此曲有意无人传，愿随春风寄燕然，忆君迢迢隔青天。	长相思三首·其二
相思了无益，悔当初相见。	忆少年·飞花时节
旋开旋落旋成空，白发多情人更惜。	酒泉子·买得杏花
问君何事轻离别，一年能几团圞月。	菩萨蛮·问君何事轻离别
为君憔悴尽，百花时。	南歌子·倭堕低梳髻
琵琶弦上说相思。当时明月在，曾照彩云归。	临江仙·梦后楼台高锁
两情若是久长时，又岂在朝朝暮暮。	鹊桥仙·纤云弄巧
相思相见知何日？此时此夜难为情！	三五七言 / 秋风词
十二楼中尽晓妆，望仙楼上望君王。	宫词
闲坐悲君亦自悲，百年多是几多时。	遣悲怀三首·其三
断无蜂蝶慕幽香，红衣脱尽芳心苦。	芳心苦·杨柳回塘
两鬓可怜青，只为相思老。	生查子·关山魂梦长
看朱成碧思纷纷，憔悴支离为忆君。	如意娘
一日不见兮，思之如狂。	凤求凰
入我相思门，知我相思苦。	三五七言 / 秋风词
凄凉别后两应同，最是不胜清怨月明中。	虞美人·曲阑深处重相见
还君明珠双泪垂，恨不相逢未嫁时。	节妇吟寄东平李司空师道
思君如流水，何有穷已时。	室思
落红不是无情物，化作春泥更护花。	己亥杂诗·其五
心似双丝网，中有千千结。	千秋岁·数声鶗鴂
